filler,en,sq,ar,bg,hr,da,nl,et,fa,fr,de,el,hu,it,ja,lt,nb,pl,pt,ro,ru,sr,sk,es,sv,th,tr
filler,English,Albanian,Arabic,Bulgarian,Croatian,Danish,Dutch,Estonian,Farsi(Persian),French,German,Greek,Hungarian,Italian,Japanese,Lithuanian,Norsk,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish
REGISTER,Register,Regjistrohu,تسجيل,Регистрирам,Registrirajte se,Tilmeld,Registreren,Registreeri,ثبت نام,registre,Neu registrieren,Κανω ΕΓΓΡΑΦΗ,Regisztráció,Registrare,登録,Registruotis,Registrere,Zarejestrować,registo,Inregistreaza-te,регистр,Регистровати,Registrovať,Registro,Registrera,สมัครสมาชิก,Kayıt olmak
LOGIN_DATA_WILL_BE_SENT,Login data will be sent to you by e-mail.,të dhënat login do të dërgohet tek ju me e-mail.,سيتم إرسال بيانات تسجيل الدخول لك عن طريق البريد الإلكتروني.,Вход за данни ще Ви бъдат изпратени по електронна поща.,Prijava podaci će biti poslana na vas putem e-maila.,Log data vil blive sendt til dig via e-mail.,Login gegevens per e-mail naar u worden verzonden.,Sisene andmed saadetakse teile e-posti teel.,اطلاعات ورود به سیستم را به شما از طریق ایمیل ارسال می شود.,les données de connexion vous seront envoyés par e-mail.,Login-Daten werden per E-Mail an Sie gesendet werden.,τα στοιχεία σύνδεσης θα σας αποσταλεί μέσω e-mail.,Bejelentkezés adatait elküldjük Önnek e-mailben.,dati di accesso saranno inviati via e-mail.,ログインデータを電子メールで送信されます。,Prisijungimas duomenys bus išsiųstas jums el.paštu.,Logg inn dataene vil bli sendt til deg på e-post.,Dane logowania zostaną wysłane do Ciebie e-mail.,Dados de acesso será enviada por e-mail.,Datele de autentificare vor fi trimise prin e-mail.,Вход данные будут высланы вам по электронной почте.,Пријава подаци ће бити послати путем е-маила.,Prihlasovacie údaje budú zaslané e-mailom.,datos de acceso serán enviados a usted por correo electrónico.,Inloggningsuppgifter kommer att skickas till dig via e-post.,ข้อมูลเข้าสู่ระบบจะถูกส่งถึงคุณผ่านทาง e-mail,"Oturum verileri, e-posta yoluyla gönderilecektir."
CREATE_ACCOUNT,Create new account,Hapni një llogari të re,انشاء حساب جديد,Създаване на нов акаунт,Otvori novi račun,Opret ny konto,Creëer een nieuw account,Loo uus konto,ساخت حساب کاربری جدید,Créer un nouveau compte,Neuen Account erstellen,Δημιουργία νέου λογαριασμού,Új fiók létrehozása,Crea un nuovo account,新しいアカウントを作成する,Sukurti naują paskyrą,Opprette ny konto,Stwórz nowe konto,Criar nova conta,Creează un cont nou,Создать новый аккаунт,Направите нови налог,Vytvoriť nový účet,Crear una nueva cuenta,Skapa nytt konto,สร้างบัญชีใหม่,Yeni hesap oluştur
SAVE,Save,Save,حفظ,Запази,Uštedjeti,Gemme,Save,Salvesta,صرفه جویی,sauvegarder,sparen,Αποθηκεύσετε,Mentés,Salvare,セーブ,Sutaupyti,Lagre,Zapisać,Salve ,Salvați,Сохранить,сачувати,Uložiť,Salvar,Spara,บันทึก,Kayıt etmek
NUMBER,Number,numër,رقم,номер,Broj,Nummer,Aantal,number,عدد,Nombre,Nummer,Αριθμός,Szám,Numero,数,skaičius,Antall,Numer,Número,Număr,Число,Број,číslo,Número,siffra,จำนวน,Numara
NAME,Name,emër,اسم,име,Ime,Navn,Naam,nimi,نام,prénom,Name,Ονομα,Név,Nome,名,vardas,Navn,Nazwa,Nome,Nume,имя,име,názov,Nombre,namn,ชื่อ,isim
SEARCH,Search,kërkim,بحث,Търсене,traži,Søg,Zoeken,Otsing,جستجو کردن,Chercher,Suche,Αναζήτηση,Keresés,Ricerca,サーチ,Paieška,Søke,Szukanie,Pesquisa,Căutare,Поиск,Претрага,Vyhľadávanie,Buscar,Sök,ค้นหา,Arama
INACTIVE_OBJECTS,inactive objects.,objekte joaktive.,الأجسام الخاملة.,неактивни обекти.,neaktivne objekata.,inaktive objekter.,inactief objecten.,mitteaktiivne objektid.,اشیاء غیر فعال است.,objets inactifs.,inaktive Objekte.,ανενεργό αντικείμενα.,inaktív tárgyakat.,oggetti inattivi.,非アクティブなオブジェクト。,neaktyvūs objektus.,inaktive objekter.,nieaktywnych obiektów.,objetos inativos.,obiecte inactive.,неактивные объекты.,неактивних објеката.,neaktívne objekty.,objetos inactivos.,inaktiva objekt.,วัตถุที่ไม่ได้ใช้งาน,inaktif nesneler.
