filler,en,sq,ar,bg,hr,da,nl,et,fa,fr,de,el,hu,it,ja,lt,nb,pl,pt,ro,ru,sr,sk,es,sv,th,tr,khm
filler,English,Albanian,Arabic,Bulgarian,Croatian,Danish,Dutch,Estonian,Farsi(Persian),French,German,Greek,Hungarian,Italian,Japanese,Lithuanian,Norsk,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish,Khmer
ADD_DEVICE,Add Device,Shto Device,اضف جهاز,Добавяне на устройство,Dodaj uređaja,Tilføj enhed,Voeg toestel toe,Lisa seade,افزودن دستگاه,Ajouter un appareil,Gerät hinzufügen,Προσθέστε ΣΥΣΚΕΥΗ,Eszköz hozzáadása,Aggiungi dispositivo,デバイスを追加,Pridėti Device,Legg til enhet,Dodaj urządzenie,Adicionar dispositivo,Adăugați un dispozitiv,Добавить устройство,Адд Девице,Pridať zariadenie,Añadir dispositivo,Lägg till enhet,เพิ่มอุปกรณ์,Cihaz ekle,បន្ថែមឧបករណ៍
ADD_ZONE,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Προσθήκη ζώνης,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone,Add Zone
ADDRESS,Address,Adresë,عنوان,адрес,Adresa,Adresse,Adres,aadress,نشانی,Adresse,Adresse,Διεύθυνση,Cím,Indirizzo,住所,adresas,Adresse,Adres,Endereço,Adresa,Адрес,Адреса,adresa,Dirección,Adress,ที่อยู่,Adres,អាស័យដ្ឋាន
ALERT_EMAILS_LABEL,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Προσθήκη e-mail,Notify on e-mail,Aggiungi e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail,Notify on e-mail
ALERT_IS_ACTIVE,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Ενεργοποιημένο,Event Active,Evento attivo,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active,Event Active
ALERT_MESSAGE_TO_EMAIL,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Ειδοποίηση σε e-mail,Message to e-mail,Notifica per email,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail,Message to e-mail
ALERT_OBJECT_PLACEHOLDER,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Επιλέξτε οχήματα,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects,Select Objects
ALERT_OBJECTS,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Επιλεγμένα οχήματα,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects,Selected Objects
